id,requirement,reference,verification,design_status,implementation_status,test_status
A11Y-001,全Pageに一意で説明的なtitleとH1,WCAG 2.4.2/2.4.6,automated+manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-002,Skip linkとlandmarkを提供,WCAG 2.4.1/1.3.1,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-003,全操作をKeyboardのみで実行可能,WCAG 2.1.1,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-004,Focus順が視覚順と一致,WCAG 2.4.3,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-005,Focus indicatorを隠さない,WCAG 2.4.7/2.4.11,automated+manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-006,DialogはFocus trap、Escape、return focusを実装,ARIA APG Dialog,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-007,Statusを色だけで表現しない,WCAG 1.4.1,automated+manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-008,通常文字Contrast 4.5:1以上を目標,WCAG 1.4.3,automated,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-009,UI Component/Focus Contrast 3:1以上を目標,WCAG 1.4.11,automated,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-010,200% Zoomで情報・操作を失わない,WCAG 1.4.4,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-011,320 CSS px幅で2次元Scrollを避ける（比較表等の例外は説明）,WCAG 1.4.10,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-012,Form label、instruction、requiredを明示,WCAG 1.3.1/3.3.2,automated+manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-013,Validation errorをFieldとSummaryへ関連付け,WCAG 3.3.1/3.3.3,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-014,破壊的/財務Actionは確認・取消または訂正機会,WCAG 3.3.4,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-015,Tableにcaption/headers/scopeを使用,WCAG 1.3.1,automated+manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-016,Responsive比較表でも商品名と軸の関係を保持,WCAG 1.3.1,screen-reader,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-017,Image altは目的を記述し装飾画像は空alt,WCAG 1.1.1,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-018,Link textだけで目的が分かる,WCAG 2.4.4,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-019,楽天へ移動するCTAを事前明示,RAOS policy,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-020,Motionはprefers-reduced-motionを尊重,WCAG 2.3.3,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-021,自動更新はFocusを奪わず必要時のみlive region,WCAG 4.1.3,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-022,Timeout前に警告し可能なら延長,WCAG 2.2.1,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-023,DragだけでなくButton/Keyboard代替を提供,WCAG 2.5.7,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-024,Target sizeを確保し密集操作を避ける,WCAG 2.5.8,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-025,認証で記憶・Puzzleだけを要求しない,WCAG 3.3.8,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-026,Screen readerでLoading/Success/Failureが分かる,WCAG 4.1.3,screen-reader,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-027,Markdown/AST Previewと公開RendererのHeading構造一致,RAOS policy,automated+manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-028,ChartはTableまたはText summaryを併設,WCAG 1.1.1/1.3.1,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-029,PDF等をMVPの唯一情報経路にしない,RAOS policy,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
A11Y-030,主要FlowをNVDAまたは同等Screen readerで確認,acceptance,manual,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
