requirement_id,design_id,artifact,enforcement,test_area,implementation_slice
FR-001,AT-001,RAOS_06_article_type_catalog_v0.1.yaml,schema/policy/renderer/human gate,at,CONT-SLICE-003
FR-001,AT-002,RAOS_06_article_type_catalog_v0.1.yaml,schema/policy/renderer/human gate,at,CONT-SLICE-003
FR-001,AT-003,RAOS_06_article_type_catalog_v0.1.yaml,schema/policy/renderer/human gate,at,CONT-SLICE-003
FR-001,AT-004,RAOS_06_article_type_catalog_v0.1.yaml,schema/policy/renderer/human gate,at,CONT-SLICE-003
FR-001,AT-005,RAOS_06_article_type_catalog_v0.1.yaml,schema/policy/renderer/human gate,at,CONT-SLICE-003
FR-002,CLM-TYPE-001,RAOS_06_claim_evidence_policy_v0.1.yaml,schema/policy/renderer/human gate,clm,CONT-SLICE-004
FR-002,POL-CONT-016,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-003,POL-CONT-016,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-003,CLM-TYPE-003,RAOS_06_claim_evidence_policy_v0.1.yaml,schema/policy/renderer/human gate,clm,CONT-SLICE-004
FR-004,RAOS-CONTENT-EVIDENCE-001,RAOS_06_claim_evidence_policy_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-004
FR-004,RAOS-CONTENT-FRESH-001,RAOS_06_freshness_update_policy_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-011
FR-005,RAOS-CONTENT-RECO-001,RAOS_06_recommendation_methodology_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-006
FR-005,POL-CONT-005,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-006,QG-CONT-002,RAOS_06_quality_gate_catalog_v0.1.yaml,schema/policy/renderer/human gate,qg,CONT-SLICE-013
FR-006,POL-CONT-001,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-007,QG-CONT-004,RAOS_06_quality_gate_catalog_v0.1.yaml,schema/policy/renderer/human gate,qg,CONT-SLICE-013
FR-007,CLM-TYPE-001,RAOS_06_claim_evidence_policy_v0.1.yaml,schema/policy/renderer/human gate,clm,CONT-SLICE-004
FR-007,CLM-TYPE-003,RAOS_06_claim_evidence_policy_v0.1.yaml,schema/policy/renderer/human gate,clm,CONT-SLICE-004
FR-007,CLM-TYPE-004,RAOS_06_claim_evidence_policy_v0.1.yaml,schema/policy/renderer/human gate,clm,CONT-SLICE-004
FR-008,RAOS-CONTENT-POLICY-001,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-013
FR-008,RAOS-CONTENT-QG-001,RAOS_06_quality_gate_catalog_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-013
FR-009,QG-CONT-010,RAOS_06_quality_gate_catalog_v0.1.yaml,schema/policy/renderer/human gate,qg,CONT-SLICE-013
FR-009,RAOS-CONTENT-REVIEW-001,RAOS_06_review_checklist_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-013
FR-010,QG-CONT-011,RAOS_06_quality_gate_catalog_v0.1.yaml,schema/policy/renderer/human gate,qg,CONT-SLICE-013
FR-010,QG-CONT-012,RAOS_06_quality_gate_catalog_v0.1.yaml,schema/policy/renderer/human gate,qg,CONT-SLICE-013
FR-011,POL-CONT-009,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-011,POL-CONT-010,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-011,POL-CONT-011,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-012,RAOS-CONTENT-FRESH-001,RAOS_06_freshness_update_policy_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-011
FR-012,POL-CONT-040,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,pol,CONT-SLICE-013
FR-016,RAOS-CONTENT-LINK-001,RAOS_06_internal_link_policy_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-012
FR-016,RAOS-CONTENT-FRESH-001,RAOS_06_freshness_update_policy_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-011
FR-017,RAOS-CONTENT-POLICY-001,RAOS_06_editorial_policy_catalog_v0.1.yaml,schema/policy/renderer/human gate,raos,CONT-SLICE-013
FR-017,QG-CONT-011,RAOS_06_quality_gate_catalog_v0.1.yaml,schema/policy/renderer/human gate,qg,CONT-SLICE-013
