order,code,document_id,name,artifact,design_status,implementation_status,runtime_verification
1,REQ,RAOS-RD-001,要件・目的・成功条件,upstream/RAOS_01_requirements_package_v0.1.zip,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
2,ARCH,RAOS-ARCH-001,システムアーキテクチャ,upstream/RAOS_02_architecture_package_v0.1.zip,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
3,DATA,RAOS-DATA-001,Data/DB/Migration,upstream/RAOS_03_data_model_package_v0.1.zip,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
4,API,RAOS-API-001,HTTP/Event/Job Contract,upstream/RAOS_04_api_contract_package_v0.1.zip,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
5,AI,RAOS-AI-001,AI Task/Prompt/Route/Evaluation,upstream/RAOS_05_ai_design_package_v0.1.zip,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
6,CONTENT,RAOS-CONTENT-001,Content/SEO/Editorial/Evidence,upstream/RAOS_06_content_design_package_v0.1.zip,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
7,INTEGRATION,RAOS-INTEGRATION-001,Canonical integration/status,01_integration/RAOS_07_integration_design_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
8,UI,RAOS-UI-001,Admin/Public UI/UX,02_ui/RAOS_08_ui_ux_design_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
9,ANALYTICS,RAOS-ANALYTICS-001,Event/KPI/Attribution,03_analytics/RAOS_09_analytics_attribution_design_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
10,SECURITY,RAOS-SEC-001,Security/Privacy/Supply chain,04_security/RAOS_10_security_privacy_design_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
11,TEST,RAOS-TEST-001,Test/Acceptance/Release evidence,05_test/RAOS_11_test_acceptance_design_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
12,OPS,RAOS-OPS-001,Operations/Reliability/Recovery,06_ops/RAOS_12_operations_reliability_design_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
13,BACKLOG,RAOS-BACKLOG-001,Epic/Story/Dependencies,07_backlog/RAOS_13_implementation_backlog_design_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
14,CODEX,RAOS-CODEX-001,Codex implementation governance,08_codex/RAOS_14_codex_implementation_handbook_v1.0.md,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
