id,epic_id,title,objective,depends_on,requirement_ids,design_refs,deliverables,acceptance_criteria,test_suites,priority,mvp,size,open_decisions,one_pr_preferred,design_status,implementation_status,verification_status
ST-0001,EPIC-00,Import canonical design package,設計Artifactをread-only upstreamとcanonicalへ配置,,,RAOS-INTEGRATION-001,docs/upstream;docs/canonical;manifest,Checksum一致;読み順がREADMEに記載,TST-001,P0,True,S,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0002,EPIC-00,Apply job-state canonical revision,Job状態差分を正式Migration/contract revisionへ移植,ST-0001,FR-020,INT-DEC-003,migration;OpenAPI/AsyncAPI revision;state tests,旧状態mapping;全遷移test;直接proposal適用なし,TST-002;TST-008;TST-010;TST-013,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0003,EPIC-00,Apply AI governance canonical revision,AI Task/Dataset/Release resourceを正式契約へ追加,ST-0001,FR-018,INT-DEC-004,DB/API/event revision;generated types,互換性test;public isolation,TST-002;TST-003;TST-008;TST-012,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0004,EPIC-00,Apply content canonical revision,Content AST/Methodology/SEO/Manifestを正式契約へ追加,ST-0001,FR-007;FR-010,INT-DEC-005,DB/API/AI schema revision,5 article fixtures;breaking change checks,TST-002;TST-003;TST-008;TST-020,P0,True,L,,False,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0005,EPIC-00,Install status registry workflow,Story/PRから実装・検証状態を更新できる仕組み,ST-0001,FR-020,RAOS-STATUS-TAXONOMY-001,status validator;PR check,不正昇格をCI拒否,TST-001,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0006,EPIC-00,Open-decision gate validator,Blocking決定をRelease/Gateへ反映,ST-0005,,RAOS-OPEN-DECISIONS-001,decision loader;gate blocker report,未解決blockingでrelease不可,TST-005;TST-032,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0101,EPIC-01,Create monorepo layout,apps/packages/contracts/infra/tests/docsを構築,ST-0001,,RAOS-ARCH-001;RAOS-CODEX-001,workspace config;README;AGENTS.md,clean cloneでbootstrap可能,TST-001,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0102,EPIC-01,Pin Python toolchain,Python、uv/lock、ruff、type、pytestを固定,ST-0101,,,pyproject;lockfile;commands,deterministic install,TST-001;TST-005,P0,True,S,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0103,EPIC-01,Pin Node toolchain,Node、package manager、Next.js、TypeScriptを固定,ST-0101,,,package config;lockfile,deterministic install,TST-001;TST-006,P0,True,S,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0104,EPIC-01,Install contract repository,OpenAPI/AsyncAPI/Schema/AI/Content契約を配置,ST-0101;ST-0002;ST-0003;ST-0004,,,contracts tree;loader,全ref/hash解決,TST-002,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0105,EPIC-01,Generate Python and TypeScript types,契約から型/Clientを決定的生成,ST-0104;ST-0102;ST-0103,,,generated python;generated ts;generation scripts,二回生成差分なし,TST-004,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0106,EPIC-01,Create base CI,lint/type/contracts/unit/secretをPRで実行,ST-0102;ST-0103;ST-0104,,RAOS-SEC-001,GitHub workflows,required jobs local reproduction,TST-001;TST-002,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0107,EPIC-01,Install PR governance,CODEOWNERS、PR template、ruleset definition,ST-0106,,RAOS-CODEX-001;RAOS-SEC-001,CODEOWNERS;templates;ruleset docs,contract/migration/security owner required,TST-001,P0,True,S,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0201,EPIC-02,Local PostgreSQL 18 service,再現可能なLocal/CI DBを構築,ST-0102,,RAOS-DATA-001,compose/service;health check,version assertion,TST-008,P0,True,S,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0202,EPIC-02,Local S3-compatible object service,Raw/Snapshot用Local storage,ST-0102,,,service;bucket bootstrap,put/get/version fixture,TST-014,P0,True,S,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0203,EPIC-02,Local queue abstraction,at-least-onceを再現するQueue fake,ST-0102,,,queue port;fake;duplicate fixture,duplicate/out-of-order injection,TST-013,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
ST-0204,EPIC-02,Configuration and secret loader,環境別typed configとSecret reference,ST-0102;ST-0103,,RAOS-SEC-001,config schema;redacted diagnostics,secret not logged;missing required fails,TST-005;TST-031,P0,True,M,,True,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED
