requirement_id,requirement,design_documents,story_ids,test_suite_ids,coverage_status
FR-001,manage_category_keyword_article_plan_with_stable_ids,RAOS-RD-001;RAOS-DATA-001;RAOS-UI-001,ST-0304;ST-0501;ST-0802,TST-005;TST-008;TST-010;TST-012;TST-020,DESIGNED_NOT_IMPLEMENTED
FR-002,ingest_and_archive_rakuten_api_responses,RAOS-ARCH-001;RAOS-DATA-001;RAOS-API-001,ST-0304;ST-0502;ST-0505;ST-0601,TST-008;TST-010;TST-014;TST-015;TST-016,DESIGNED_NOT_IMPLEMENTED
FR-003,normalize_and_group_same_product_candidates,RAOS-DATA-001;RAOS-CONTENT-001,ST-0304;ST-0503;ST-0504,TST-005;TST-007;TST-008;TST-010;TST-020,DESIGNED_NOT_IMPLEMENTED
FR-004,retain_source_timestamp_and_confidence,RAOS-DATA-001;RAOS-CONTENT-001,ST-0304;ST-0503;ST-0601;ST-0602,TST-005;TST-007;TST-008;TST-010;TST-014,DESIGNED_NOT_IMPLEMENTED
FR-005,separate_editorial_and_business_scores,RAOS-CONTENT-001;RAOS-SEC-001,ST-0804,TST-007;TST-020,DESIGNED_NOT_IMPLEMENTED
FR-006,block_generation_without_approved_source_packet,RAOS-AI-001;RAOS-CONTENT-001,ST-0604;ST-0702;ST-0806,TST-005;TST-012;TST-018;TST-019;TST-020,DESIGNED_NOT_IMPLEMENTED
FR-007,link_generated_claims_to_evidence,RAOS-AI-001;RAOS-CONTENT-001,ST-0004;ST-0304;ST-0605;ST-0705;ST-0801;ST-0806,TST-002;TST-003;TST-008;TST-010;TST-018;TST-019;TST-020;TST-021,DESIGNED_NOT_IMPLEMENTED
FR-008,validate_prohibited_phrases_missing_sources_and_stale_prices,RAOS-AI-001;RAOS-CONTENT-001;RAOS-TEST-001,ST-0603;ST-0705;ST-0801;ST-0805,TST-007;TST-019;TST-020,DESIGNED_NOT_IMPLEMENTED
FR-009,require_human_approval_by_default,RAOS-CONTENT-001;RAOS-UI-001;RAOS-SEC-001,ST-0901;ST-0902,TST-011;TST-012;TST-020;TST-021,DESIGNED_NOT_IMPLEMENTED
FR-010,support_cms_draft_publish_update_stop_and_rollback,RAOS-ARCH-001;RAOS-CONTENT-001;RAOS-UI-001,ST-0004;ST-0305;ST-0807;ST-0903;ST-0904;ST-0905;ST-1002,TST-002;TST-003;TST-008;TST-011;TST-012;TST-013;TST-014;TST-020;TST-021;TST-022;TST-023;TST-030,DESIGNED_NOT_IMPLEMENTED
FR-011,validate_affiliate_link_format_reachability_and_destination_clarity,RAOS-CONTENT-001;RAOS-TEST-001,ST-1004;ST-1402,TST-020;TST-021;TST-022;TST-026;TST-028,DESIGNED_NOT_IMPLEMENTED
FR-012,detect_product_disappearance_stockout_and_price_change,RAOS-DATA-001;RAOS-OPS-001,ST-1401;ST-1402,TST-005;TST-020;TST-021;TST-028,DESIGNED_NOT_IMPLEMENTED
FR-013,attribute_search_behavior_clicks_and_commission_to_articles,RAOS-ANALYTICS-001,ST-0305;ST-1201;ST-1202;ST-1203;ST-1204;ST-1205;ST-1303,TST-007;TST-008;TST-011;TST-012;TST-022;TST-030;TST-031,DESIGNED_NOT_IMPLEMENTED
FR-014,store_generated_and_confirmed_commission_separately,RAOS-DATA-001;RAOS-ANALYTICS-001,ST-0305;ST-1301;ST-1302,TST-008;TST-011;TST-026;TST-030,DESIGNED_NOT_IMPLEMENTED
FR-015,calculate_epc_rpm_cost_and_contribution_profit,RAOS-ANALYTICS-001,ST-0305;ST-1205;ST-1304,TST-008;TST-011;TST-030,DESIGNED_NOT_IMPLEMENTED
FR-016,prioritize_update_merge_delete_and_create_actions,RAOS-AI-001;RAOS-CONTENT-001;RAOS-ANALYTICS-001,ST-1403,TST-020;TST-021,DESIGNED_NOT_IMPLEMENTED
FR-017,link_policy_versions_to_affected_articles,RAOS-CONTENT-001;RAOS-OPS-001,ST-0805;ST-1407,TST-005;TST-019;TST-020,DESIGNED_NOT_IMPLEMENTED
FR-018,record_model_prompt_version_token_and_cost_for_ai_jobs,RAOS-AI-001,ST-0003;ST-0304;ST-0701;ST-0703;ST-0706,TST-001;TST-002;TST-003;TST-008;TST-010;TST-012;TST-013;TST-017,DESIGNED_NOT_IMPLEMENTED
FR-019,provide_emergency_publication_and_affiliate_link_kill_switch,RAOS-ARCH-001;RAOS-UI-001;RAOS-OPS-001,ST-0303;ST-1405,TST-008;TST-011;TST-012;TST-013;TST-022;TST-028,DESIGNED_NOT_IMPLEMENTED
FR-020,retain_admin_and_automation_audit_log,RAOS-DATA-001;RAOS-SEC-001;RAOS-OPS-001,ST-0002;ST-0005;ST-0303;ST-0306;ST-0405,TST-001;TST-002;TST-008;TST-010;TST-011;TST-012;TST-013,DESIGNED_NOT_IMPLEMENTED
GATE-0,compliance_and_foundation,RAOS-RD-001;RAOS-TEST-001;RAOS-OPS-001,ST-0006;ST-1506;ST-1607;ST-1701;ST-1703;ST-1704;ST-1705;ST-1801;ST-1802;ST-1803;ST-1804;ST-1805;ST-1901;ST-1902;ST-1903;ST-1904;ST-1905;ST-1906;ST-1907;ST-1908,TST-032,DESIGNED_NOT_EXECUTED
GATE-1,editorial_and_technical_pilot,RAOS-RD-001;RAOS-TEST-001;RAOS-OPS-001,ST-0006;ST-1506;ST-1607;ST-1701;ST-1703;ST-1704;ST-1705;ST-1801;ST-1802;ST-1803;ST-1804;ST-1805;ST-1901;ST-1902;ST-1903;ST-1904;ST-1905;ST-1906;ST-1907;ST-1908,TST-032,DESIGNED_NOT_EXECUTED
GATE-2,search_and_user_value_validation,RAOS-RD-001;RAOS-TEST-001;RAOS-OPS-001,ST-0006;ST-1506;ST-1607;ST-1701;ST-1703;ST-1704;ST-1705;ST-1801;ST-1802;ST-1803;ST-1804;ST-1805;ST-1901;ST-1902;ST-1903;ST-1904;ST-1905;ST-1906;ST-1907;ST-1908,TST-032,DESIGNED_NOT_EXECUTED
GATE-3,revenue_and_unit_economics,RAOS-RD-001;RAOS-TEST-001;RAOS-OPS-001,ST-0006;ST-1506;ST-1607;ST-1701;ST-1703;ST-1704;ST-1705;ST-1801;ST-1802;ST-1803;ST-1804;ST-1805;ST-1901;ST-1902;ST-1903;ST-1904;ST-1905;ST-1906;ST-1907;ST-1908,TST-032,DESIGNED_NOT_EXECUTED
GATE-4,scalable_repeatability,RAOS-RD-001;RAOS-TEST-001;RAOS-OPS-001,ST-0006;ST-1506;ST-1607;ST-1701;ST-1703;ST-1704;ST-1705;ST-1801;ST-1802;ST-1803;ST-1804;ST-1805;ST-1901;ST-1902;ST-1903;ST-1904;ST-1905;ST-1906;ST-1907;ST-1908,TST-032,DESIGNED_NOT_EXECUTED
