id,category,area,item,design_status,implementation_status,verification_status,blocking,dependencies,evidence_required,owner,source,notes
ST-0001,IMPLEMENTATION_STORY,EPIC-00,Import canonical design package,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,,TST-001,Architecture,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0002,IMPLEMENTATION_STORY,EPIC-00,Apply job-state canonical revision,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0001,TST-002;TST-008;TST-010;TST-013,Architecture,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0003,IMPLEMENTATION_STORY,EPIC-00,Apply AI governance canonical revision,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0001,TST-002;TST-003;TST-008;TST-012,Architecture,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0004,IMPLEMENTATION_STORY,EPIC-00,Apply content canonical revision,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0001,TST-002;TST-003;TST-008;TST-020,Architecture,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0005,IMPLEMENTATION_STORY,EPIC-00,Install status registry workflow,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0001,TST-001,Architecture,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0006,IMPLEMENTATION_STORY,EPIC-00,Open-decision gate validator,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0005,TST-005;TST-032,Architecture,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0101,IMPLEMENTATION_STORY,EPIC-01,Create monorepo layout,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0001,TST-001,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0102,IMPLEMENTATION_STORY,EPIC-01,Pin Python toolchain,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0101,TST-001;TST-005,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0103,IMPLEMENTATION_STORY,EPIC-01,Pin Node toolchain,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0101,TST-001;TST-006,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0104,IMPLEMENTATION_STORY,EPIC-01,Install contract repository,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0101;ST-0002;ST-0003;ST-0004,TST-002,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
ST-0105,IMPLEMENTATION_STORY,EPIC-01,Generate Python and TypeScript types,APPROVED_FOR_IMPLEMENTATION,NOT_STARTED,NOT_EXECUTED,true,ST-0104;ST-0102;ST-0103,TST-004,Engineering,07_backlog/RAOS_13_story_backlog_v1.0.yaml,
